N,P,K,temperature,humidity,ph,rainfall,Crop,Yield
90,42,43,23.77233194773068,78.80128483890533,6.502985292000001,186.991438814667,rice,3500.0
85,58,41,25.552913152050323,78.30340659962327,7.038096361,217.56157084965145,rice,3033.3333333333335
60,55,44,24.33989666550169,75.04122843106418,7.840207144,248.05975977189885,rice,2267.7824988
74,35,40,26.42655288718029,86.06084114136799,6.980400905,258.43494790925104,rice,3307.5
78,42,42,22.24662546190106,80.51438210577506,7.628472891,279.7916899494862,rice,3259.2687568023325
69,37,42,26.186031256750034,73.78182115836742,7.073453503,232.005505484355,rice,3147.083333333333
69,55,38,23.24972278719575,87.47713821093018,5.70080568,265.8049532835222,rice,2750.4166666666665
94,53,40,16.07308390328322,74.61148739304049,5.718627177999999,254.01471751644917,rice,2541.580238705002
89,54,38,29.293476934698106,92.45997355720856,6.685346424,222.2790667136237,rice,3161.6666666666665
68,58,38,18.773782544935635,90.24247620818592,6.336253525,225.0492862758621,rice,2356.2125496905114
91,53,40,28.51478163998292,75.28642964132644,5.386167788,275.52706018493745,rice,3173.60315804
90,46,42,21.61443847486036,78.134659846298,7.50283396,235.0002653624244,rice,3496.032456
78,58,44,26.48928531379853,80.01844453894603,5.108681786,266.2221897118015,rice,2504.4110678393336
93,56,36,22.434049444844604,79.15433802058871,6.98435366,189.4841440639867,rice,2940.0
94,50,37,28.770096454593247,79.4355083153217,6.94801983,201.9113691639216,rice,3342.5000000000005
60,48,39,20.979277184517528,74.12659807585409,7.042299068999999,232.7738786622395,rice,2864.166666666667
85,38,41,18.48675974580041,89.56741542497471,6.2490506560000005,275.5017548710551,rice,3182.2195466180856
91,35,39,19.966543443529083,82.40462806785003,6.970859754,217.02042142174685,rice,3440.579511293991
77,38,36,20.1318489310729,90.11549903891498,5.953933276,208.41841693505796,rice,3193.75
88,35,40,18.844730200616983,77.96276748638486,5.85393208,294.8856898448229,rice,3257.3933421295665
89,45,36,21.501778112290964,76.74575567936431,6.442475375,200.5225830741045,rice,3290.0
76,40,43,29.46951358557604,79.21230781150992,5.070175667,240.60489563369475,rice,2791.9769162273333
67,59,41,26.869017652783413,87.2707644950599,6.012632591,206.48637274607117,rice,2557.9166666666665
83,41,43,16.719538702530652,75.29774498650505,6.254028451,244.50694061214844,rice,2811.1031275314367
98,47,37,22.22913175666113,81.70399796519982,7.375482851,229.3175928472866,rice,3342.5000000000005
66,53,41,25.153634009260102,71.9876225715934,7.778915154,251.77672773686183,rice,2554.9879345153336
97,59,43,23.56153139778465,79.75880529200603,6.2865001760000006,260.2165488284112,rice,2975.0
97,50,41,28.566434870653296,78.03935985473221,7.070959995,267.04678946671294,rice,3500.0
60,49,44,24.67785026834573,89.17491804044484,6.244841491,222.7108817995875,rice,2916.666666666667
84,51,35,22.989483197197963,87.77771716601816,6.043304899,181.17520236994736,rice,3179.1666666666665
73,57,41,19.23392929522265,78.20282733863883,5.824709117,286.85428239717066,rice,2735.30002034401
92,35,40,23.59013617319044,79.99132521616252,6.3573893660000005,212.97630143360925,rice,3500.0
85,37,39,26.56807279517955,92.00530245293729,6.364134967999999,212.74435313860508,rice,3447.5
98,53,38,15.287524791139386,87.65903946848815,5.01450727,270.7862721190147,rice,1861.0419366692515
88,54,44,21.190796408613856,82.9541067649852,6.149410611,236.5236180248621,rice,3266.6666666666665
95,55,42,25.32761723912115,75.46176603862769,5.950660556,192.70053967707537,rice,3208.333333333333
99,57,35,26.245048374458086,75.90749122168634,5.960370061,256.0250688373587,rice,2829.1666666666665
95,39,36,25.89585873585147,84.61596795529402,5.561398642,267.4457980099246,rice,3290.0
60,43,44,22.63301615712047,85.81800111932145,7.416245107000001,283.7170036979105,rice,2916.666666666667
63,44,41,19.323961396751898,83.90205841770418,5.583370042,237.12874189679417,rice,2834.738589942526
62,42,36,21.252606633048376,88.96116437501514,6.430010215,247.52191648000547,rice,2712.5
64,45,43,28.954011825643487,77.44842227182379,5.534878156,201.09834995078185,rice,2986.666666666667
83,60,36,28.469345000185257,71.52168574968275,6.903985986,214.4440283536622,rice,2706.666666666667
82,40,40,26.23003963114588,93.14097633135636,6.271478837999999,291.7038554593413,rice,3500.0
85,52,45,25.765501071154898,90.30974181738604,7.224285503,276.8136485603667,rice,3383.3333333333335
91,35,38,23.14744254042549,71.68814707796258,6.13428721,198.42360973065323,rice,3395.0000000000005
76,49,42,27.55111493498396,92.22068097470448,5.206373153,209.7949744041838,rice,2975.6619256793338
74,39,38,18.948055520674103,86.45630061620687,7.782051312999999,240.99107512037787,rice,2661.865676782473
79,43,39,20.01938012694889,87.67993626110677,7.062779015,214.552920639245,rice,3415.416666666667
